run_number,injection_scheme,Run era
401623,Single_4b_2_2_2_noLRs,Run2026A
401624,Single_4b_2_2_2_noLRs,Run2026A
401625,Single_4b_2_2_2_noLRs,Run2026A
401626,Single_4b_2_2_2_noLRs,Run2026A
401627,Single_4b_2_2_2_noLRs,Run2026A
401630,Single_12b_8_8_8_1bpi_12inj,Run2026A
401631,Single_12b_8_8_8_1bpi_12inj,Run2026A
401632,Single_12b_8_8_8_1bpi_12inj,Run2026A
401633,Single_12b_8_8_8_1bpi_12inj,Run2026A
401634,Single_12b_8_8_8_1bpi_12inj,Run2026A
401635,Single_12b_8_8_8_1bpi_12inj,Run2026A
401636,Single_12b_8_8_8_1bpi_12inj,Run2026A
401637,Single_12b_8_8_8_1bpi_12inj,Run2026A
401638,Single_12b_8_8_8_1bpi_12inj,Run2026A
401639,Single_12b_8_8_8_1bpi_12inj,Run2026A
401640,Single_12b_8_8_8_1bpi_12inj,Run2026A
401641,Single_12b_8_8_8_1bpi_12inj,Run2026A
401642,Single_12b_8_8_8_1bpi_12inj,Run2026A
401661,25ns_75b_74_38_50_12bpi_9inj_3INDIVs,Run2026A
401663,25ns_75b_74_38_50_12bpi_9inj_3INDIVs,Run2026A
401664,25ns_75b_74_38_50_12bpi_9inj_3INDIVs,Run2026A
401668,25ns_75b_74_38_50_12bpi_9inj_3INDIVs,Run2026A
401669,25ns_75b_74_38_50_12bpi_9inj_3INDIVs,Run2026A
401670,25ns_75b_74_38_50_12bpi_9inj_3INDIVs,Run2026A
401671,25ns_75b_74_38_50_12bpi_9inj_3INDIVs,Run2026A
401691,25ns_447b_434_380_398_36bpi_16inj_3INDIVs,Run2026A
401692,25ns_447b_434_380_398_36bpi_16inj_3INDIVs,Run2026A
401693,25ns_447b_434_380_398_36bpi_16inj_3INDIVs,Run2026A
401694,25ns_447b_434_380_398_36bpi_16inj_3INDIVs,Run2026A
401699,25ns_447b_434_382_403_72bpi_12inj_3INDIVs,Run2026A
401730,25ns_843b_830_702_744_72bpi_16inj_3INDIVs,Run2026A
401731,25ns_843b_830_702_744_72bpi_16inj_3INDIVs,Run2026A
401732,25ns_843b_830_702_744_72bpi_16inj_3INDIVs,Run2026A
401733,25ns_843b_830_702_744_72bpi_16inj_3INDIVs,Run2026A
401803,25ns_843b_830_704_749_144bpi_12inj_3INDIVs,Run2026A
401831,Single_12b_8_8_8_1bpi_12inj,Run2026A
401832,Single_12b_8_8_8_1bpi_12inj,Run2026A
401844,25ns_1167b_1154_1020_1083_144bpi_16inj_3INDIVs,Run2026B
401848,25ns_1167b_1154_1020_1083_144bpi_16inj_3INDIVs,Run2026B
401866,25ns_843b_830_704_749_144bpi_12inj_3INDIVs,Run2026B
401867,25ns_843b_830_704_749_144bpi_12inj_3INDIVs,Run2026B
401868,25ns_843b_830_704_749_144bpi_12inj_3INDIVs,Run2026B
401869,25ns_843b_830_704_749_144bpi_12inj_3INDIVs,Run2026B
401878,25ns_1167b_1154_1020_1083_144bpi_16inj_3INDIVs,Run2026B
401882,25ns_1167b_1154_1020_1083_144bpi_16inj_3INDIVs,Run2026B
401899,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401916,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401917,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401918,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401919,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401951,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401952,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401961,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401971,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401972,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401973,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
401976,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
402039,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
402040,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
402046,25ns_1887b_1874_1658_1763_144bpi_20inj_3INDIVs,Run2026B
402069,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402070,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402098,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402099,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402100,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402101,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402102,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402115,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402143,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402144,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402171,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402172,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402173,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402174,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402189,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402205,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402206,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402207,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402221,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402222,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402243,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402244,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402247,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402248,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402249,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402262,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402263,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402330,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402360,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402368,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402369,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402370,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402371,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402372,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402399,25ns_2390b_2377_2045_2180_144bpi_22inj_2INDIVs,Run2026B
402400,25ns_2390b_2377_2045_2180_144bpi_22inj_2INDIVs,Run2026B
402404,25ns_2390b_2377_2045_2180_144bpi_22inj_2INDIVs,Run2026B
402419,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402420,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402421,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402422,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402424,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402435,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402446,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402456,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402457,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402469,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402470,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402471,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402472,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402490,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402512,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402513,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026B
402536,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402537,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402538,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402539,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402560,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402574,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402575,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402601,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402602,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
402603,25ns_2460b_2448_2092_2239_144bpi_20inj,Run2026C
